country,year,indicator,value
LY,1979,gdp,30536429496.9448
LY,1978,gdp,22136422643.3959
LY,1977,gdp,22428297107.5929
LY,1976,gdp,19096943016.5748
LY,1975,gdp,14710912457.6509
LY,1974,gdp,15112543717.1298
LY,1973,gdp,8625889429.58277
LY,1972,gdp,6299395543.96301
LY,1971,gdp,5260185125.41886
LY,1970,gdp,4601649451.34022
LY,1969,gdp,4380987481.20501
LY,1968,gdp,3850623094.95076
LY,1967,gdp,2726986912.80523
LY,1966,gdp,2312438535.82459
LY,1965,gdp,1804979680.40813
LY,1964,gdp,1341395421.44183
LY,1963,gdp,892327910.668836
LY,1962,gdp,619725784.909686
LY,1961,gdp,443905612.037755
LY,1960,gdp,401644248.9423
LY,2024,population,7381023.0
LY,2023,population,7305659.0
LY,2022,population,7223805.0
LY,2021,population,7135175.0
LY,2020,population,7045399.0
LY,2019,population,6951033.0
LY,2018,population,6849055.0
LY,2017,population,6738770.0
LY,2016,population,6632126.0
LY,2015,population,6531819.0
LY,2014,population,6427252.0
LY,2013,population,6304628.0
LY,2012,population,6179328.0
LY,2011,population,6343203.0
LY,2010,population,6497839.0
LY,2009,population,6366686.0
LY,2008,population,6235430.0
LY,2007,population,6104380.0
LY,2006,population,5980211.0
LY,2005,population,5858798.0
LY,2004,population,5736693.0
LY,2003,population,5619398.0
LY,2002,population,5508410.0
LY,2001,population,5403639.0
LY,2000,population,5305021.0
LY,1999,population,5218038.0
LY,1998,population,5140704.0
LY,1997,population,5064639.0
LY,1996,population,4987393.0
LY,1995,population,4906843.0
LY,1994,population,4822037.0
LY,1993,population,4733045.0
LY,1992,population,4640352.0
LY,1991,population,4544400.0
LY,1990,population,4445239.0
LY,1989,population,4342920.0
LY,1988,population,4237755.0
LY,1987,population,4129739.0
LY,1986,population,4017403.0
LY,1985,population,3898745.0
LY,1984,population,3773633.0
LY,1983,population,3718961.0
LY,1982,population,3724765.0
LY,1981,population,3621486.0
LY,1980,population,3424378.0
LY,1979,population,3233846.0
LY,1978,population,3052526.0
LY,1977,population,2881533.0
LY,1976,population,2721237.0
LY,1975,population,2571556.0
LY,1974,population,2432211.0
LY,1973,population,2314193.0
LY,1972,population,2226091.0
LY,1971,population,2153534.0
LY,1970,population,2082589.0
LY,1969,population,2014293.0
LY,1968,population,1952781.0
LY,1967,population,1898199.0
LY,1966,population,1849063.0
LY,1965,population,1804015.0
LY,1964,population,1753691.0
LY,1963,population,1690457.0
LY,1962,population,1621960.0
LY,1961,population,1555699.0
LY,1960,population,1492890.0
SD,2024,gdp,49672435513.1126
SD,2023,gdp,39898289820.7951
SD,2022,gdp,51666875363.0963
SD,2021,gdp,34229513774.9936
SD,2020,gdp,27034593750.0
SD,2019,gdp,32338079165.2893
SD,2018,gdp,32333780383.2924
SD,2017,gdp,41283617976.1905
SD,2016,gdp,42630376000.0
SD,2015,gdp,51726758676.7677
SD,2014,gdp,49516748617.9775
SD,2013,gdp,43024018082.1918
SD,2012,gdp,37632919966.6667
SD,2011,gdp,55018567210.5263
SD,2010,gdp,58962978034.4828
SD,2009,gdp,51621044076.9231
SD,2008,gdp,64833083257.1431
SD,2007,gdp,59440139774.8128
SD,2006,gdp,45263831634.1497
SD,2005,gdp,35182711987.974
SD,2004,gdp,26646007250.7319
SD,2003,gdp,21355298459.5955
SD,2002,gdp,18137128388.3606
SD,2001,gdp,15716361792.1926
SD,2000,gdp,12257299147.2936
SD,1999,gdp,10682028339.6898
SD,1998,gdp,11250221536.7484
SD,1997,gdp,11681175864.3383
SD,1996,gdp,9018300724.66086
SD,1995,gdp,13830363899.9163
SD,1994,gdp,12793794737.042
SD,1993,gdp,8881005435.80602
SD,1992,gdp,7031933491.84899
SD,1991,gdp,44171194366.2039
